image,predicted_color,aquarius,name,price,mrp,material
1229.jpg,gray,80%,Gray Shirt,2231,2780,Denim
123.jpg,white,90%,White Shirt,2535,3176,Silk
1230.jpg,gray,80%,Gray Shirt,2443,2830,Denim
1231.jpg,white,52%,White Shirt,2830,3242,Polyester
1232.jpg,black,74%,Black Shirt,2218,2944,Silk
1233.jpg,black,77%,Black Shirt,2337,3031,Linen
1234.jpg,unknown,52%,Stylish Shirt,2585,3304,Cotton
1235.jpg,black,84%,Black Shirt,1956,2617,Linen
1236.jpg,white,46%,White Shirt,2470,2995,Silk
1237.jpg,gray,77%,Gray Shirt,2168,2916,Cotton
1238.jpg,white,55%,White Shirt,2216,3013,Polyester
1239.jpg,white,62%,White Shirt,2729,3347,Silk
124.jpg,white,78%,White Shirt,2887,3537,Polyester
1240.jpg,gray,79%,Gray Shirt,1938,2659,Polyester
1241.jpg,white,46%,White Shirt,2351,3090,Denim
1242.jpg,white,45%,White Shirt,2271,2715,Denim
1243.jpg,white,47%,White Shirt,1839,2186,Cotton
1244.jpg,white,47%,White Shirt,2176,2780,Polyester
1245.jpg,white,37%,White Shirt,2089,2834,Linen
1246.jpg,blue,76%,Blue Shirt,2475,2855,Cotton
1247.jpg,unknown,53%,Stylish Shirt,1725,2280,Cotton
1248.jpg,black,82%,Black Shirt,1968,2402,Polyester
1249.jpg,unknown,55%,Stylish Shirt,2475,2906,Linen
125.jpg,white,46%,White Shirt,2498,3275,Polyester
1250.jpg,black,82%,Black Shirt,2956,3651,Denim
1251.jpg,white,63%,White Shirt,2360,3039,Cotton
1252.jpg,black,75%,Black Shirt,2468,3195,Linen
1253.jpg,unknown,81%,Stylish Shirt,1621,2250,Linen
1254.jpg,blue,74%,Blue Shirt,1918,2655,Denim
1255.jpg,black,78%,Black Shirt,1621,1973,Wool
1256.jpg,black,78%,Black Shirt,2095,2832,Wool
1257.jpg,unknown,80%,Stylish Shirt,2193,2787,Linen
1258.jpg,black,75%,Black Shirt,2036,2413,Denim
1259.jpg,white,81%,White Shirt,1714,2085,Linen
126.jpg,unknown,48%,Stylish Shirt,2684,3422,Cotton
1260.jpg,blue,49%,Blue Shirt,2605,2983,Linen
1261.jpg,gray,58%,Gray Shirt,1888,2193,Linen
1262.jpg,black,77%,Black Shirt,2674,3129,Cotton
1263.jpg,gray,73%,Gray Shirt,2989,3692,Polyester
1264.jpg,black,77%,Black Shirt,2726,3412,Wool
1265.jpg,black,81%,Black Shirt,2279,2756,Denim
1266.jpg,white,49%,White Shirt,2781,3437,Linen
1267.jpg,white,52%,White Shirt,1633,2335,Denim
1268.jpg,white,57%,White Shirt,2758,3527,Wool
1269.jpg,white,58%,White Shirt,1789,2429,Linen
127.jpg,black,72%,Black Shirt,2209,2783,Polyester
1270.jpg,gray,78%,Gray Shirt,1899,2567,Cotton
1271.jpg,black,77%,Black Shirt,2661,3220,Denim
1272.jpg,red,80%,Red Shirt,2354,3154,Cotton
1273.jpg,black,77%,Black Shirt,2781,3404,Denim
1274.jpg,gray,77%,Gray Shirt,1936,2289,Silk
1275.jpg,white,46%,White Shirt,2147,2671,Wool
1276.jpg,blue,56%,Blue Shirt,2740,3344,Cotton
1277.jpg,gray,76%,Gray Shirt,1692,2345,Denim
1278.jpg,blue,76%,Blue Shirt,1868,2362,Wool
1279.jpg,black,72%,Black Shirt,1614,2099,Linen
128.jpg,unknown,40%,Stylish Shirt,2027,2570,Linen
1280.jpg,gray,83%,Gray Shirt,2966,3276,Polyester
1281.jpg,white,60%,White Shirt,2827,3342,Denim
1282.jpg,white,92%,White Shirt,2068,2858,Linen
1283.jpg,gray,77%,Gray Shirt,2802,3320,Wool
1284.jpg,white,80%,White Shirt,2868,3585,Denim
1285.jpg,unknown,69%,Stylish Shirt,1694,2434,Denim
1286.jpg,white,44%,White Shirt,2314,2719,Wool
1287.jpg,unknown,44%,Stylish Shirt,1978,2747,Silk
1288.jpg,black,81%,Black Shirt,2986,3750,Polyester
1289.jpg,white,58%,White Shirt,1897,2559,Wool
129.jpg,unknown,61%,Stylish Shirt,2160,2548,Polyester
1290.jpg,white,56%,White Shirt,2372,3072,Cotton
1291.jpg,unknown,80%,Stylish Shirt,2301,2774,Denim
1292.jpg,white,44%,White Shirt,2794,3124,Denim
1293.jpg,gray,48%,Gray Shirt,2880,3280,Wool
1294.jpg,black,83%,Black Shirt,2046,2479,Denim
1295.jpg,black,80%,Black Shirt,2569,2938,Linen
1296.jpg,black,80%,Black Shirt,1870,2473,Cotton
1297.jpg,gray,47%,Gray Shirt,2559,3264,Wool
1298.jpg,black,72%,Black Shirt,2651,3350,Polyester
1299.jpg,gray,81%,Gray Shirt,2668,3297,Cotton
13.jpg,white,42%,White Shirt,1500,2208,Wool
130.jpg,unknown,42%,Stylish Shirt,2189,2879,Linen
1300.jpg,white,49%,White Shirt,2998,3549,Denim
1301.jpg,unknown,57%,Stylish Shirt,1979,2493,Polyester
1302.jpg,gray,81%,Gray Shirt,2664,3202,Cotton
1303.jpg,gray,66%,Gray Shirt,2672,3246,Wool
1304.jpg,green,49%,Green Shirt,2495,3128,Wool
1305.jpg,black,73%,Black Shirt,2189,2727,Linen
1306.jpg,blue,43%,Blue Shirt,1831,2343,Wool
1307.jpg,black,55%,Black Shirt,1685,2426,Linen
1308.jpg,white,92%,White Shirt,2487,2941,Linen
1309.jpg,white,58%,White Shirt,2842,3493,Wool
131.jpg,black,51%,Black Shirt,1518,2026,Wool
1310.jpg,yellow,79%,Yellow Shirt,2220,2833,Silk
1311.jpg,white,75%,White Shirt,2624,3158,Linen
1312.jpg,white,64%,White Shirt,2028,2542,Wool
1313.jpg,yellow,78%,Yellow Shirt,1868,2632,Silk
1314.jpg,white,57%,White Shirt,2187,2592,Cotton
1315.jpg,white,66%,White Shirt,2084,2456,Silk
1316.jpg,unknown,69%,Stylish Shirt,1816,2259,Polyester
1317.jpg,gray,60%,Gray Shirt,2547,2980,Wool
1318.jpg,blue,78%,Blue Shirt,2045,2641,Polyester
1319.jpg,black,76%,Black Shirt,2930,3636,Cotton
132.jpg,unknown,51%,Stylish Shirt,2000,2424,Linen
1320.jpg,white,48%,White Shirt,2951,3432,Denim
1321.jpg,white,36%,White Shirt,2756,3106,Silk
1322.jpg,white,52%,White Shirt,2380,3016,Silk
1323.jpg,white,45%,White Shirt,2091,2621,Wool
1324.jpg,white,49%,White Shirt,2402,3035,Cotton
1325.jpg,unknown,76%,Stylish Shirt,2043,2705,Polyester
1326.jpg,white,43%,White Shirt,2351,2799,Wool
1327.jpg,gray,41%,Gray Shirt,2720,3224,Linen
1328.jpg,gray,77%,Gray Shirt,2887,3521,Silk
1329.jpg,white,41%,White Shirt,2637,3149,Silk
133.jpg,unknown,42%,Stylish Shirt,1528,1999,Cotton
1330.jpg,black,75%,Black Shirt,1929,2599,Denim
1331.jpg,black,78%,Black Shirt,1840,2548,Linen
1332.jpg,black,81%,Black Shirt,1591,2093,Wool
1333.jpg,blue,77%,Blue Shirt,2116,2631,Denim
1334.jpg,unknown,78%,Stylish Shirt,1524,2116,Polyester
1335.jpg,black,79%,Black Shirt,2285,2822,Denim
1336.jpg,black,74%,Black Shirt,2030,2366,Denim
1337.jpg,white,48%,White Shirt,2262,2770,Silk
1338.jpg,white,44%,White Shirt,1663,2436,Wool
1339.jpg,black,72%,Black Shirt,2709,3489,Polyester
134.jpg,unknown,66%,Stylish Shirt,1721,2424,Polyester
1340.jpg,unknown,47%,Stylish Shirt,2036,2551,Denim
1341.jpg,unknown,80%,Stylish Shirt,1980,2681,Silk
1342.jpg,white,36%,White Shirt,1903,2648,Polyester
1343.jpg,unknown,82%,Stylish Shirt,2567,3359,Wool
1344.jpg,gray,79%,Gray Shirt,2011,2583,Wool
1345.jpg,gray,80%,Gray Shirt,1907,2422,Silk
1346.jpg,blue,78%,Blue Shirt,2504,3166,Wool
1347.jpg,white,43%,White Shirt,1925,2665,Wool
1348.jpg,white,80%,White Shirt,2860,3496,Wool
1349.jpg,gray,78%,Gray Shirt,2997,3433,Wool
135.jpg,black,65%,Black Shirt,1650,2333,Wool
1350.jpg,white,49%,White Shirt,1941,2346,Silk
1351.jpg,white,92%,White Shirt,2609,3395,Silk
1352.jpg,black,70%,Black Shirt,1923,2279,Cotton
1353.jpg,white,58%,White Shirt,2407,2972,Silk
1354.jpg,black,78%,Black Shirt,2901,3514,Denim
1355.jpg,black,76%,Black Shirt,2262,2739,Silk
1356.jpg,black,76%,Black Shirt,1653,2082,Silk
1357.jpg,black,76%,Black Shirt,1765,2522,Polyester
1358.jpg,white,44%,White Shirt,2771,3461,Cotton
1359.jpg,white,76%,White Shirt,2495,2850,Polyester
136.jpg,gray,44%,Gray Shirt,2239,2679,Wool
1360.jpg,black,81%,Black Shirt,2860,3273,Denim
1361.jpg,black,71%,Black Shirt,2510,2849,Linen
1362.jpg,white,91%,White Shirt,2366,3126,Denim
1363.jpg,gray,79%,Gray Shirt,2084,2440,Linen
1364.jpg,gray,58%,Gray Shirt,2514,3064,Polyester
1365.jpg,blue,76%,Blue Shirt,2708,3320,Cotton
1366.jpg,black,69%,Black Shirt,1613,2388,Polyester
1367.jpg,white,67%,White Shirt,2684,3261,Silk
1368.jpg,unknown,75%,Stylish Shirt,2725,3118,Silk
1369.jpg,white,84%,White Shirt,1856,2331,Cotton
137.jpg,black,54%,Black Shirt,1699,2380,Polyester
1370.jpg,blue,83%,Blue Shirt,2927,3294,Denim
1371.jpg,black,70%,Black Shirt,2729,3159,Polyester
1372.jpg,gray,83%,Gray Shirt,2087,2568,Cotton
1373.jpg,black,73%,Black Shirt,2089,2493,Linen
1374.jpg,unknown,79%,Stylish Shirt,2460,2944,Linen
1375.jpg,blue,87%,Blue Shirt,2153,2882,Cotton
1376.jpg,unknown,58%,Stylish Shirt,2901,3374,Wool
1377.jpg,gray,75%,Gray Shirt,2953,3574,Polyester
1378.jpg,unknown,88%,Stylish Shirt,1855,2174,Wool
1379.jpg,blue,78%,Blue Shirt,2114,2870,Silk
138.jpg,unknown,51%,Stylish Shirt,1887,2434,Denim
1380.jpg,gray,47%,Gray Shirt,2468,3028,Polyester
1381.jpg,white,55%,White Shirt,2150,2462,Cotton
1382.jpg,green,48%,Green Shirt,1542,2001,Wool
1383.jpg,brown,82%,Brown Shirt,1588,2199,Cotton
1384.jpg,black,81%,Black Shirt,2322,2797,Denim
1385.jpg,black,80%,Black Shirt,2237,2614,Polyester
1386.jpg,white,63%,White Shirt,2383,2846,Cotton
1387.jpg,unknown,84%,Stylish Shirt,2169,2668,Polyester
1388.jpg,gray,82%,Gray Shirt,2478,3146,Wool
1389.jpg,gray,68%,Gray Shirt,2289,3014,Denim
139.jpg,white,54%,White Shirt,2700,3057,Wool
1390.jpg,pink,76%,Pink Shirt,1958,2556,Wool
1391.jpg,blue,81%,Blue Shirt,2791,3239,Denim
1392.jpg,gray,80%,Gray Shirt,2705,3374,Wool
1393.jpg,white,46%,White Shirt,2046,2786,Denim
1394.jpg,white,50%,White Shirt,1733,2352,Silk
1395.jpg,gray,83%,Gray Shirt,1782,2243,Polyester
1396.jpg,black,79%,Black Shirt,2688,3123,Denim
1397.jpg,black,74%,Black Shirt,1775,2567,Cotton
1398.jpg,white,53%,White Shirt,2579,3275,Silk
1399.jpg,blue,80%,Blue Shirt,2393,3044,Denim
14.jpg,black,59%,Black Shirt,2175,2841,Linen
140.jpg,black,83%,Black Shirt,1765,2273,Polyester
1400.jpg,blue,82%,Blue Shirt,2777,3371,Wool
1401.jpg,black,79%,Black Shirt,2348,3080,Silk
1402.jpg,white,96%,White Shirt,2146,2545,Polyester
1403.jpg,black,82%,Black Shirt,1797,2396,Denim
1404.jpg,white,62%,White Shirt,1784,2216,Denim
1405.jpg,black,75%,Black Shirt,2754,3334,Silk
1406.jpg,gray,78%,Gray Shirt,2536,3120,Denim
1407.jpg,gray,76%,Gray Shirt,1591,2155,Wool
1408.jpg,gray,82%,Gray Shirt,1972,2557,Polyester
1409.jpg,gray,80%,Gray Shirt,1808,2224,Wool
141.jpg,blue,69%,Blue Shirt,1727,2469,Cotton
1410.jpg,gray,42%,Gray Shirt,2153,2869,Linen
1411.jpg,white,47%,White Shirt,2698,3159,Linen
1412.jpg,white,73%,White Shirt,2563,3201,Polyester
1413.jpg,white,51%,White Shirt,1502,1897,Denim
1414.jpg,black,75%,Black Shirt,2114,2569,Polyester
1415.jpg,gray,48%,Gray Shirt,2820,3287,Wool
